header,headerLong,var,flagID,dataframe,class,softTime,hardValue,hardSigma,hardUnit,hardMethod
dataset_name,Dataset Name - author_year (all lower case) - ,dataset_name,,study,factor,,,,,
doi_number,Digital Object Modifier (DOI) Number - ,doi,study_id,study,character,,,,,
curator_name,Name of Person Entering Data - ,curator_name,,study,character,,,,,
curator_organization,Organization of Person Entering Data - ,curator_organization,,study,character,,,,,
curator_email,Email Address of Person Entering Data - ,curator_email,,study,character,,,,,
modification_date,Template Modification Date - YYYY-MM-DD or MM/DD/YYYY - ,modification_date,,study,character,,,,,
author_name,Corresponding Author of Publication/ Dataset - ,author_name,,study,character,,,,,
author_email,Corresponding Author Email - ,author_email,,study,character,,,,,
author_orcid_id,Corresponding Author ORCID ID Number - ,author_orcid_id,,study,character,,,,,
bibliographical reference,"Bibliographical Reference - Author(s), Year, Article Title, Journal Title, Volume, Page Numbers",bibliographical_reference,,study,character,,,,,
profile,"Dataset Name - author_year
red font = required",dataset_name,,study,factor,,,,,
site_name,Site Name - ,site_name,,field,factor,,,,,
lat,Latitude - dec. deg,lat,,field,numeric,,,,,
long,Longitude - dec. deg,long,,field,numeric,,,,,
datum,Latitude/Longitude Datum - (lat/long datum),datum,,field,factor,,,,,
site_note,Site Notes - ,site_note,,field,character,,,,,
country,Country - ,country,,field,character,,,,,
state_province,State or Province - ,state,,field,character,,,,,
elevation,Elevation - m,elevation,,field,numeric,,,,m,
map,Mean Annual Precipitation - mm,map,,field,numeric,,,,mm,
mat,Mean Annual Temperature - degree C,mat,,field,numeric,,,,degree C,
climate_cat,Köppen Climate Categories - (climate_cat),climate_cat,,field,factor,,,,,
aspect_deg,Site Aspect - degree,aspect_deg,,field,numeric,,,,degree,
aspect,Site Aspect Class - (direction),aspect,,field,factor,,,,,
slope,Slope - percent,slope,,field,numeric,,,,percent,
slope_shape,Slope Shape - (shape),slope_shape,,field,factor,,,,,
drainage_class,Drainage Class - (drainage_class),drainage_class,,field,factor,,,,,
depth_water,Depth to Water Table - cm,depth_water,,field,numeric,,,,cm,
parent_material,NRCS Fieldbook Categories - (parent_material),parent_material,,field,factor,,,,,
parent_chem,General Parent Material Chemistry - (parent_chem),parent_chem,,field,factor,,,,,
ecoregion,WWF Ecoregion & Habitat Types - (ecoregion),ecoregion,,field,factor,,,,,
veg_note,Vegetation Notes - species names,veg_note,,field,character,,,,,
land_cover,Land Cover Category - (land_cover),land_cover,,field,factor,,,,,
s_soc,Site Reported Soil Organic Carbon Stock - g cm-2,soc,,sample,numeric,value,,,,
observation_date,Observation Date - YYYY-MM-DD or MM/DD/YYYY,observation_date,,field,character,,,,,
veg_note_profile,Profile Vegetation - species names,veg_note_profile,,field,character,,,,,
2d_position,2D Position - (2d_position),2d_position,,field,factor,,,,,
soil_taxon,Soil Taxonomy - ,soil_taxon,,field,character,,,,,
soil_series,Soil Series - ,soil_series,,field,character,,,,,
bedrock_depth,Depth to Bedrock - cm,bedrock_depth,,field,numeric,,,,cm,
thaw_depth_profile,Thaw Depth - cm,thaw_depth_profile,,field,numeric,,,,cm,
p_soc,Reported Profile Soil Organic Carbon Stock - g cm-2,soc,,sample,numeric,value,,,g cm-2,
