Sample ID,Depth,Warming status,Site,Sample or replicate number,Sampling Date, initial (48 hrs after sample collection) CO2 ppm,initial mgCO2/d,9 days CO2 ppm/d (mean),9 days mgCO2/d,18 days CO2 ppm/d (mean),18 days mgCO2/d,25 days CO2 ppm/d (mean),25 days mgCO2/d,31 days CO2 ppm/d (mean),31 days mgCO2/d,d13CCO2 initial (48 hours),d13CCO2   (9 days),d13CCO2 (31 days),?14C initial (48 hours)
47O,0-5,,BZBS,1,09-05-2005,1073,0.16,1779,0.31,11168,2.33,4275.0,0.85,6659.0,1.36,-28.4,-20.81,-24.45,13.1
63O,0-5,,BZBS,2,09-05-2005,2715,0.51,3146,0.60,7904,1.63,8449.0,1.75,7213,1.48,,-29.17,-29.29,31.3
31,0-5,,BZBS,3,09-05-2005,7365,1.51,5735,1.16,5689,1.15,6502.0,1.33,5046.0,1.01,,-28.28,-28.58,69.8
15,0-5,,BZDE,1,09-05-2005,19646,4.16,18410,3.89,18931,4.01,8142.0,1.68,20789.0,4.41,-27.8,-28.3,-28.2,82.1
16,0-5,warm,BZDE,2,09-05-2005,8131,1.68,12844,2.69,13981,2.94,6174.0,1.26,17159.0,3.62,-25.9,-26.58,-26.34,73.0
14,0-5,warm,BZDE,3,09-05-2005,5332,1.07,8299,1.71,8510,1.76,7928.0,1.63,6928.0,1.42,-25.0,-25.87,-24.87,78.9
17,0-5,,BZDE,4,09-05-2005,15109,3.18,13281,2.79,13694,2.88,14708.0,3.10,15554.0,3.28,-27.2,-28.01,-27.88,81.6
13,0-5,warm,BZDE,5,09-05-2005,16775,3.54,13577,2.85,13085,2.75,12183.0,2.55,11278.0,2.36,-27.7,-27.8,-27.59,71.6
18,0-5,,BZDE,6,09-05-2005,6978,1.43,11389,2.38,10803,2.25,9973.0,2.07,10283.0,2.14,-23.7,-24.35,-23.84,80.0
21,0-5,,BZEC,1,09-05-2005,16764,3.54,13991,2.94,6918,1.42,16777.0,3.54,17901.0,3.78,-26.5,-26.97,-26.57,89.8
19,0-5,,BZEC,2,09-05-2005,18367,3.88,24345,5.17,24099,5.12,24156.0,5.13,23134.0,4.91,-26.9,-27.46,-27.24,111.6
20,0-5,,BZEC,3,09-05-2005,15199,3.20,16244,3.43,17046,3.60,16459.0,3.47,13469.0,2.83,-26.7,-27.22,-27.3,105.2
24,0-5,,BZTG,1IN,09-05-2005,5932,1.20,11940,2.50,11209,2.34,11841.0,2.48,8544.0,1.77,-24.9,-24.7,-22.87,106.2
22,0-5,,BZTG,1T,09-05-2005,23011,4.89,20843,4.42,24450,5.20,24953.0,5.30,25684.0,5.46,-26.2,-26.71,-25.98,67.2
23,0-5,,BZTG,2IN,09-05-2005,3107,0.59,6170,1.25,2260,0.41,9454.0,1.96,10481.0,2.18,-23.7,-25.27,-24.62,95.2
29,0-5,,BZTG,2T,09-05-2005,4776,0.95,3081,0.59,5401,1.09,6143.0,1.25,6311.0,1.29,-25.1,-25.29,-21,71.9
30,0-5,,BZTG,3IN,09-05-2005,21387,4.54,20134,4.27,22686,4.82,19484.0,4.13,15379.0,3.24,-26.3,-27.39,-26.89,93.6
28,0-5,,BZTG,3T,09-05-2005,1108,0.16,1470,0.24,3464,0.67,1688.0,0.29,3645.0,0.71,,-22.52,-21.85,33.9
7,0-5,warm,apexlo,1,09-05-2005,16782,3.54,15555,3.28,15382,3.24,18949.0,4.01,20139.0,4.27,-26.8,-27.3,-27.32,117.1
8,0-5,,apexlo,2,09-05-2005,16663,3.52,19022,4.03,19767,4.19,20568.0,4.36,21763.0,4.62,-26.3,-26.81,-26.96,110.9
9,0-5,,apexlo,3,09-05-2005,6938,1.42,10703,2.23,11037,2.30,13006.0,2.73,13256.0,2.78,-22.5,-23.36,-23.7,92.2
10,0-5,warm,apexlo,4,09-05-2005,19185,4.06,19191,4.06,18940,4.01,18918.0,4.00,16836.0,3.55,-26.0,-26.81,-26.92,128.2
11,0-5,,apexlo,5,09-05-2005,20596,4.37,19692,4.17,21791,4.62,21494.0,4.56,19937.0,4.22,-26.0,-26.53,-26.96,100.2
12,0-5,warm,apexlo,6,09-05-2005,6439,1.31,6743,1.38,7304,1.50,7991.0,1.65,8549.0,1.77,-23.1,-24.06,-21.7,108.8
1,0-5,warm,apexel,1,09-05-2005,18416,3.90,14821,3.12,14246,3.00,14648.0,3.08,13287.0,2.79,-26.9,-27.56,-27.38,87.1
2,0-5,warm,apexel,2,09-05-2005,5126,1.03,7423,1.53,5473,1.10,6027.0,1.22,4948.0,0.99,-22.9,-23.05,-21.46,114.3
3,0-5,,apexel,3,09-05-2005,20112,4.26,19350,4.10,19923,4.22,17487.0,3.69,17795.0,3.76,-25.4,-27.09,-27.25,100.8
4,0-5,,apexel,4,09-05-2005,9998,2.08,15653,3.30,17906,3.79,18623.0,3.94,17075.0,3.61,-23.8,-23.63,-27.54,74.9
5,0-5,,apexel,5,09-05-2005,12233,2.56,13733,2.89,13137,2.76,12775.0,2.68,11627.0,2.43,-26.1,-27.93,-27.61,106.8
6,0-5,warm,apexel,6,09-05-2005,20174,4.27,20393,4.32,19786,4.19,19044.0,4.03,19923.0,4.22,-26.0,-27.17,-27.06,91.0
25,0-5,,BZWB,1,09-05-2005,3609,0.70,4622,0.92,6866,1.40,7360.0,1.51,7548.0,1.55,-28.7,-29.17,-26.92,51.5
26,0-5,,BZWB,2,09-05-2005,11659,2.44,12585,2.64,11900,2.49,17622.0,3.72,18528.0,3.92,-27.7,-28.15,-27.56,102.8
27,0-5,,BZWB,3,09-05-2005,3634,0.71,6154,1.25,4232,0.84,1868.0,0.33,2142.0,0.39,-22.8,-25.54,-20.91,87.7
36,5-15,,BZBS,1,09-05-2005,6103,2.49,5152,2.08,5712,2.32,4921.0,1.98,3657.0,2.49,,-24.1,-23.13,
39,5-15,,BZBS,2,09-05-2005,12658,5.32,9471,3.94,8246,3.41,7626.0,3.14,6632.0,5.32,,-28.21,-27.56,
52,5-15,,BZBS,3,09-05-2005,8961,3.72,10177,4.25,9023,3.75,6878.0,2.82,7123.0,3.72,,-27,-26.63,
47,5-15,,BZDE,1,09-05-2005,10780,4.51,9471,3.94,8092,3.35,8509.0,3.53,7236.0,4.51,,-26.3,-27.06,
54,5-15,warm,BZDE,2,09-05-2005,7263,2.99,8390,3.47,8068,3.34,7340.0,3.02,7304.0,2.99,,-23.4,-24.32,
72,5-15,warm,BZDE,3,09-05-2005,18586,7.88,17165,7.27,8255,3.42,10450.0,4.37,10533.0,7.88,,-26.81,-26.02,
69,5-15,,BZDE,4,09-05-2005,4769,1.91,9009,3.74,4706,1.88,4652.0,1.86,4553.0,1.91,,-24.5,-24.18,
71,5-15,warm,BZDE,5,09-05-2005,14490,6.11,14626,6.17,7767,3.21,9198.0,3.82,8148.0,6.11,,-26.45,-26.37,
59,5-15,,BZDE,6,09-05-2005,15512,6.55,11485,4.81,11105,4.65,11286.0,4.73,9737.0,6.55,,-26.35,-26.9,
53,5-15,,BZEC,1,09-05-2005,17604,7.46,17959,7.61,14686,6.20,13821.0,5.82,11646.0,7.46,,-27.34,-27.23,
56,5-15,,BZEC,2,09-05-2005,17180,7.27,20019,8.50,18165,7.70,16887.0,7.15,12705.0,7.27,,-27.45,-27.07,
42,5-15,,BZEC,3,09-05-2005,16366,6.92,18232,7.73,20321,8.63,4748.0,1.90,14089.0,6.92,,-27.61,-27.2,
35,5-15,,BZTG,1IN,09-05-2005,4688,1.87,6964,2.86,8242,3.41,7995.0,3.30,5489.0,1.87,,-24.64,-25.67,
61,5-15,,BZTG,IT,09-05-2005,9432,3.93,7713,3.18,7387,3.04,7229.0,2.97,6572.0,3.93,,-25.91,-25.06,
41,5-15,,BZTG,2IN,09-05-2005,7997,3.31,10059,4.20,10395,4.34,9817.0,4.09,8170.0,3.31,,-25.76,-23.4,
65,5-15,,BZTG,2T,09-05-2005,2903,1.10,4648,1.86,3515,1.37,1609.0,0.54,3437.0,1.10,,-20.97,-20.73,
73,5-15,,BZTG,3IN,09-05-2005,7689,3.17,12837,5.40,8413,3.48,9873.0,4.12,8212.0,3.17,,-25.91,-26.29,
50,5-15,,BZTG,3T,09-05-2005,4238,1.68,5325,2.15,6536,2.67,6925.0,2.84,5369.0,1.68,,-26.2,-22.76,
38,5-15,warm,apexlo,1,09-05-2005,11573,4.85,12070,5.07,5676,2.30,1480.0,0.49,1711.0,4.85,,-26.19,-21.47,
